method,status,records,score,score_percent,shared_total_storage_GB_decimal,storage_saving_vs_fp16_shared,avg_latency_seconds,notes
FP16 shared reference,valid,2400,0.5873738555804158,58.73738555804158,959.330370048,0.0,0.3364930051957102,
Guarded shared-prefix TurboQuant 3.5b (ours),valid,2400,0.5906820330574996,59.068203305749954,404.597824,0.5782497493749146,0.37720474279834887,candidate; fixed first512/last2048 FP16 guards
SpectrumKV shared sink-b0.5,valid,2400,0.5890363711935362,58.903637119353625,498.1301312,0.480752255164114,0.5198785990932568,
CacheGen q2 shared-prefix quality,valid,2400,0.5698902732672554,56.98902732672554,170.160796496,0.8226254460311874,3.2768232675616553,mean_rel_l2=0.257801
SKVQ packed k2-v2-g128-w128-clip-sink5,invalid_quality,2400,0.0002777777777777778,0.027777777777777776,182.234509824,0.810039882491282,5.658851192839211,completed packed/dequant path degenerates; not paper fake-quant path
